Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-04-02,95.5,106.5,93.7,104.7,63095,175443,62276,6695826,61845596902013,7990,257306533,0.105,0.0539,7.956,4400,94.955,8193,17.192,91875,20.024,1.338,10988125.0,531299.50374904,116.0
2013-04-03,103.73,116.0,100.1,116.0,63766,184209,69174,6695826,60270367548897,8852,252194497,0.133,0.06,8.229,4478,102.533,8193,26.608,107142,19.987,1.596,10986575.0,538423.88021,133.78
2013-04-04,116.0,158.41,110.0,133.78,66738,221568,71753,6695826,55272455140085,8777,226470029,0.141,0.0618,9.351,4249,123.314,8193,24.681,108890,19.99,1.948,10995725.0,525157.6,135.0
2013-04-05,133.87,150.0,119.0,135.0,61215,190067,69310,7005058,51815454745655,9950,227376421,0.12,0.0643,9.114,4348,125.183,8193,20.514,100034,19.833,1.432,10999925.0,606454.78155612,141.8
2013-04-06,134.67,144.0,127.09,141.8,51555,158566,52062,7673000,61828214750416,8923,157618282,0.101,0.0671,8.834,3458,90.165,8193,16.632,83086,19.833,0.947,10997875.0,656408.77,141.0
2013-04-07,141.8,150.03,138.5,141.0,63377,205411,51482,7673000,62710014647861,9411,127226834,0.121,0.071,8.78,2445,64.295,8193,16.917,87097,19.767,1.302,11008200.0,786232.0,164.97
2013-04-08,141.0,165.1,140.65,164.97,61525,195118,66793,7673000,63348133569501,10124,209959555,0.123,0.0818,9.29,4044,130.618,8193,25.225,113894,19.689,1.183,11012400.0,656770.227986549,185.6
2013-04-09,164.97,198.0,162.0,185.6,66803,179129,74640,7673000,65111643775833,13352,324241653,0.144,0.0977,8.182,6073,193.144,8193,30.776,112075,19.714,1.11,11008975.0,924462.0,229.0
2013-04-10,185.6,235.29,164.34,229.0,63690,168442,83776,7673000,70206503841325,12305,432598611,0.181,0.0892,7.539,8125,339.149,8193,47.699,133453,19.762,1.34,11021100.0,513594.87876,162.0
2013-04-11,228.94,259.34,70.0,162.0,68247,216494,76320,7673000,65886778608137,7092,192463385,0.107,0.0575,9,4028,115.115,8193,55.458,124611,20.19,1.563,11020175.0,657821.213131992,83.4
2013-04-12,162.0,179.0,50.0,83.4,58517,163776,65468,7673000,63688279726654,6360,138461138,0.0891,0.0462,8.324,2789,98.599,8193,49.071,102963,20.136,1.291,11029400.0,440080.45981,109.9
2013-04-13,81.02,112.0,45.0,109.9,53350,145189,54832,7673000,62912871328188,6595,98980843,0.0743,0.0492,8.623,2395,70.799,8193,30.776,82837,20.138,0.958,11033475.0,375375.0,91.64
2013-04-14,109.9,119.0,85.0,91.64,55318,175169,44917,7673000,61636671163390,5779,60826050,0.0886,0.0459,9.412,1393,48.534,8193,26.059,71397,20.149,1.38,11031225.0,407971.672898,91.11
2013-04-15,90.44,99.99,81.94,91.11,54332,161887,58998,7673000,61994386305362,5865,76896248,0.119,0.0436,8.78,1672,69.254,8193,25.505,100248,20.385,1.785,11042050.0,420602.0,74.0
2013-04-16,91.79,99.8,60.0,74.0,67608,181191,67120,7673000,68054656188210,4937,124159123,0.0578,0.0375,8.136,1984,54.821,8193,21.909,100365,20.518,1.165,11042475.0,362002.35771,68.09
2013-04-17,73.99,82.0,49.8,68.09,56535,163802,61384,8038276,67652617934419,5006,125329936,0.112,0.0389,8.421,2375,70.344,8193,18.85,105254,20.389,1.876,11050300.0,309900.40909436,89.98
2013-04-18,67.85,101.12,60.0,89.98,46484,144419,54496,8974296,72151171083871,4878,548689876,0.0866,0.0473,9.796,11864,91.957,8193,18.021,82114,20.427,1.148,11053425.0,380032.74,109.3
2013-04-19,89.98,111.23,78.92,109.3,59391,211591,67336,8974296,59918797331804,6198,191347126,0.0994,0.0534,10.511,3353,91.794,8193,15.248,105015,20.424,1.594,11053700.0,454813.92,117.71
2013-04-20,109.3,140.2,100.0,117.71,48148,157408,49315,8974296,64763702820794,6887,106398333,0.11,0.0572,9.351,2602,63.022,8193,11.64,74501,20.546,1.19,11061400.0,463338.735088351,126.55
2013-04-21,118.11,129.79,114.27,126.55,44048,123053,45972,8974296,76580830433678,6616,103406588,0.0854,0.0571,8.182,2530,73.62,8193,12.201,69875,20.52,0.745,11065450.0,505793.925,118.81
2013-04-22,126.55,129.0,101.0,118.81,47041,147050,54023,8974296,72513318955570,6062,175229971,0.112,0.0568,9.412,3960,85.425,8193,11.926,91717,20.518,1.204,11064875.0,546637.33683,123.74
